address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
721/1-3 Valentine Avenue,Parramatta,2150,Apartment,0,1,0,,250000.0,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,1,1.0,0,0.0,0.0,0,2.73,0
138 Railway Street,Parramatta,2150,Townhouse,2,1,1,,685000.0,2026-08-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,3,0.5,0,0.0,0.0,1,2.63,0
53/20 Victoria Road,Parramatta,2150,Apartment,2,2,1,,640000.0,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,4,1.0,0,0.0,0.0,1,2.6,0
5/5 Thomas Street,Parramatta,2150,Apartment,2,1,1,,530000.0,2026-08-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,3,0.5,0,0.0,0.0,1,2.56,0
2/1-7 Bobart Street,Parramatta,2150,Townhouse,2,1,1,,780000.0,2026-08-12,Auction,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,3,0.5,0,0.0,0.0,1,2.56,1
3637/180 George Street,Parramatta,2150,Apartment,1,1,0,,623000.0,2026-08-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,2,1.0,0,0.0,0.0,0,2.56,0
33 Rosehill Street,Parramatta,2150,House,4,1,1,691.0,2080000.0,2026-08-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,5,0.25,1,6.539585955617669,172.75,1,2.43,0
4/39 Great Western Highway,Parramatta,2150,Apartment,2,1,1,,560000.0,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,3,0.5,0,0.0,0.0,1,2.4,0
C19/88 Marsden Street,Parramatta,2150,Apartment,2,2,1,,520000.0,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,4,1.0,0,0.0,0.0,1,2.4,0
1001/1A Morton Street,Parramatta,2150,Apartment,2,2,1,,635000.0,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4,4,1.0,0,0.0,0.0,1,2.4,0
313/88 Vista Street,Mosman,2088,Apartment,2,1,0,,905000.0,2026-09-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/,3,0.5,0,0.0,0.0,0,3.75,0
8/88 Avenue Road,Mosman,2088,Apartment,1,1,1,,730000.0,2026-09-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/,2,1.0,0,0.0,0.0,1,3.58,0
7/10 Muston Street,Mosman,2088,Apartment,1,1,0,,750000.0,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/,2,1.0,0,0.0,0.0,0,3.45,0
13/5 The Esplanade,Mosman,2088,Apartment,1,1,0,,1450000.0,2026-09-03,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/,2,1.0,0,0.0,0.0,0,3.29,1
7/154 Raglan Street,Mosman,2088,Apartment,1,1,1,,785000.0,2026-07-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,2,1.0,0,0.0,0.0,1,1.61,0
1/128-130 Avenue Road,Mosman,2088,Apartment,2,1,1,,1415000.0,2026-07-14,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,1,1.61,1
8/6 Punch Street,Mosman,2088,Apartment,1,1,0,,700000.0,2026-07-09,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,2,1.0,0,0.0,0.0,0,1.45,1
13/6 McLeod Street,Mosman,2088,Apartment,1,1,0,,762000.0,2026-07-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,2,1.0,0,0.0,0.0,0,1.45,0
20/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,,1030000.0,2026-07-07,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,1,1.38,1
4/125 Raglan Street,Mosman,2088,Apartment,2,1,0,,990000.0,2026-07-07,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,0,1.38,1
22/43 Musgrave Street,Mosman,2088,Apartment,2,1,1,,1310000.0,2026-07-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,1,1.25,0
22/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,,1025000.0,2026-07-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,1,1.25,0
3 Gordon Street,Mosman,2088,House,5,2,2,490.0,7650000.0,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,7,0.4,1,6.19644412779452,98.0,1,1.22,1
67 Cowles Road,Mosman,2088,House,4,2,0,,3225000.0,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,6,0.5,0,0.0,0.0,0,1.22,1
